COD_2010,COD_2022
"020031308","020211308"
"020031309","020211309"
"020031310","020211310"
"020031311","020211311"
"020031401","020211401"
"020031402","020211402"
"020031403","020211403"
"020031404","020211404"
"020031405","020211405"
"020031406","020211406"
"020031407","020211407"
"020031408","020211408"
"020031410","020211409"
"020031501","020211501"
"020031502","020211502"
"020031503","020211503"
"020031504","020211504"
"020031505","020211505"
"020031506","020211506"
"020031507","020211507"
"020031508","020211508"
"020031509","020211509"
"020031601","020211601"
"020031602","020211602"
"020031603","020211603"
"020031604","020211604"
"020031605","020211605"
"020031606","020211606"
"020031607","020211607"
"020031608","020211608"
"020031609","020211609"
"020031701","020211701"
"020031702","020211702"
"020031703","020211703"
"020031704","020211704"
"020031705","020211705"
"020031706","020211706"
"020031707","020211707"
"020031708","020211708"
"020031709","020211709"
"020031801","020211801"
"020031802","020211802"
"020031803","020211803"
"020031804","020211804"
"020031805","020211805"
"020031806","020211806"
"020031807","020211807"
"020031808","020211808"
"020031809","020211809"
"020031810","020211810"
"020031811","020211811"
"020031901","020211901"
"020031902","020211902"
"020031903","020211903"
"020031904","020211904"
"020031905","020211905"
"020031906","020211906"
"020031907","020211907"
"020031908","020211908"
"020031909","020211909"
"020031910","020211910"
"020032001","020212001"
"020032002","020212002"
"020032003","020212003"
"020032004","020212004"
"020032005","020212005"
"020032006","020212006"
"020032007","020212007"
"020032008","020212008"
"020032009","020212009"
"020032010","020212010"
"020032011","020212011"
"020032101","020212101"
"020032102","020212102"
"020032103","020212103"
"020032104","020212104"
"020032105","020212105"
"020032106","020212106"
"020032107","020212107"
"020032108","020212108"
"020032109","020212109"
"020032110","020212110"
"020032201","020212201"
"020032202","020212202"
"020032203","020212203"
"020032204","020212204"
"020032205","020212205"
"020032206","020212206"
"020032207","020212207"
"020032208","020212208"
"020032209","020212209"
"020032301","020212301"
"020032302","020212302"
"020032303","020212303"
"020032304","020212304"
"020032305","020212305"
"020032306","020212306"
"020032307","020212307"
"020032308","020212308"
"020032309","020212309"
"020032310","020212310"
"020032401","020212401"
"020032402","020212402"
"020032403","020212403"
"020032404","020212404"
"020032405","020212405"
"020032406","020212406"
"020032407","020212407"
"020032408","020212408"
"020032409","020212409"
"020032501","020212501"
"020032501","020212510"
"020032502","020212502"
"020032503","020212503"
"020032504","020212504"
"020032505","020212505"
"020032506","020212506"
"020032507","020212507"
"020032508","020212508"
"020032509","020212509"
"020032601","020212601"
"020032602","020212602"
"020032603","020212603"
"020032604","020212604"
"020032605","020212605"
"020032606","020212606"
"020032607","020212607"
"020032608","020212608"
"020032609","020212609"
"020032701","020212701"
"020032702","020212702"
"020032703","020212703"
"020032704","020212704"
"020032705","020212705"
"020032706","020212706"
"020032707","020212707"
"020040101","020280101"
"020040102","020280102"
"020040103","020280103"
"020040104","020280104"
"020040105","020280105"
"020040106","020280106"
"020040107","020280107"
"020040108","020280108"
"020040109","020280109"
"020040110","020280110"
"020040111","020280111"
"020040112","020280112"
"020040113","020280113"
"020040114","020280114"
"020040201","020280201"
"020040202","020280202"
"020040203","020280203"
"020040204","020280204"
"020040205","020280205"
"020040206","020280206"
"020040207","020280207"
"020040208","020280208"
"020040209","020280209"
"020040210","020280210"
"020040301","020280301"
"020040302","020280302"
"020040303","020280303"
"020040304","020280304"
"020040305","020280305"
"020040306","020280306"
"020040307","020280307"
"020040308","020280308"
"020040309","020280309"
"020040310","020280310"
"020040311","020280311"
"020040312","020280312"
"020040313","020280313"
"020040401","020280401"
"020040402","020280402"
"020040403","020280403"
"020040404","020280404"
"020040405","020280405"
"020040406","020280406"
"020040407","020280407"
"020040408","020280408"
"020040409","020280409"
"020040410","020280410"
"020040411","020280411"
"020040501","020280501"
"020040502","020280502"
"020040503","020280503"
"020040504","020280504"
"020040505","020280505"
"020040506","020280506"
"020040507","020280507"
"020040508","020280508"
"020040509","020280512"
"020040509","020280509"
"020040510","020280510"
"020040511","020280511"
"020040601","020280601"
"020040601","020280612"
"020040602","020280602"
